,Format,Formula,Summary,Applies To,Time Scale,Time Range,Versions,Style,Cell Count,Calculation Effort,Notes,Read Access Driver,Write Access Driver,Users List,Parent,Is Summary,Formula Scope,Code,Use Switchover,Breakback,Brought-Forward,Start of Section,Data Tags,Referenced By,Module Name
Staff Cost,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,,DAT01 P&L
EBITDA,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,,DAT01 P&L
Depreciation,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,,DAT01 P&L
EBIT,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Month,Model Calendar,All,,19152,,,-,-,,,false,All Versions,,false,false,false,false,-,,DAT01 P&L
DAT02 Board Lines,,,,,Month,Model Calendar,All,,576,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Revenue,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL01 KPIs'.EBITDA Margin, 'CAL01 KPIs'.Revenue Growth, 'CAL01 KPIs'.Revenue Prior Year, 'CAL01 KPIs'.Revenue YTD, 'CAL01 KPIs'.Revenue per FTE, 'OUT01 Board Dashboard'.Revenue",DAT02 Board Lines
EBITDA,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL01 KPIs'.EBITDA Margin, 'OUT01 Board Dashboard'.EBITDA",DAT02 Board Lines
Budget Revenue,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,,,-,-,,,false,All Versions,,false,false,false,false,-,,DAT02 Board Lines
Revenue Variance,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,,,-,-,,,false,All Versions,,false,false,false,false,-,,DAT02 Board Lines
DAT03 Headcount,,,,Departments,Month,Model Calendar,Not Applicable,,1296,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
FTE,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Departments,Month,Model Calendar,Not Applicable,,648,,,-,-,,,false,-,,false,false,false,false,-,'CAL01 KPIs'.FTE,DAT03 Headcount
Total Cost,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Departments,Month,Model Calendar,Not Applicable,,648,,,-,-,,,false,-,,false,false,false,false,-,,DAT03 Headcount
CAL01 KPIs,,,,,Month,Model Calendar,All,,1008,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
FTE,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'DAT03 Headcount'.FTE,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,07.48%,,-,-,,,false,All Versions,,true,false,false,false,-,Revenue per FTE,CAL01 KPIs
Revenue per FTE,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'DAT02 Board Lines'.Revenue / FTE,"{""summaryMethod"":""FORMULA"",""timeSummaryMethod"":""FORMULA"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,11.21%,,-,-,,,false,All Versions,,true,false,false,false,-,'OUT01 Board Dashboard'.Revenue per FTE,CAL01 KPIs
Opex Ratio,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}","DIVIDE('DAT01 P&L'.Opex, 'DAT01 P&L'.Revenue)","{""summaryMethod"":""FORMULA"",""timeSummaryMethod"":""FORMULA"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,11.21%,,-,-,,,false,All Versions,,true,false,false,false,-,,CAL01 KPIs
Revenue Prior Year,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}","LAG('DAT02 Board Lines'.Revenue, 12, 0)","{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,07.48%,,-,-,,,false,All Versions,,true,false,false,false,-,Revenue Growth,CAL01 KPIs
Revenue Growth,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}","DIVIDE('DAT02 Board Lines'.Revenue - Revenue Prior Year, Revenue Prior Year)","{""summaryMethod"":""FORMULA"",""timeSummaryMethod"":""FORMULA"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,11.21%,,-,-,,,false,All Versions,,true,false,false,false,-,'OUT01 Board Dashboard'.Revenue Growth,CAL01 KPIs
EBITDA Margin,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}","DIVIDE('DAT02 Board Lines'.EBITDA, 'DAT02 Board Lines'.Revenue)","{""summaryMethod"":""FORMULA"",""timeSummaryMethod"":""FORMULA"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,11.21%,,-,-,,,false,All Versions,,true,false,false,false,-,,CAL01 KPIs
Revenue YTD,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",YEARTODATE('DAT02 Board Lines'.Revenue),"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,07.48%,,-,-,,,false,All Versions,,true,false,false,false,-,,CAL01 KPIs
OUT01 Board Dashboard,,,,,Month,Model Calendar,All,,864,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Revenue,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'DAT02 Board Lines'.Revenue,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,07.48%,,-,-,,,false,All Versions,,true,false,false,false,-,,OUT01 Board Dashboard
EBITDA,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'DAT02 Board Lines'.EBITDA,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,07.48%,,-,-,,,false,All Versions,,true,false,false,false,-,,OUT01 Board Dashboard
Revenue per FTE,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'CAL01 KPIs'.Revenue per FTE,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,07.48%,,-,-,,,false,All Versions,,true,false,false,false,-,,OUT01 Board Dashboard
Revenue Growth,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'CAL01 KPIs'.Revenue Growth,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,07.48%,,-,-,,,false,All Versions,,true,false,false,false,-,,OUT01 Board Dashboard
Commentary,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,,,-,-,,,false,All Versions,,false,false,false,false,-,,OUT01 Board Dashboard
Prepared By,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,All,,144,,,-,-,,,false,All Versions,,false,false,false,false,-,,OUT01 Board Dashboard
