,Functional Area,Applies To,Time Scale,Time Range,Versions,Breakback,Users List,Cell Count,Notes,Read Access Driver,Write Access Driver,Data Tags,Managed By,Referenced By,Used in Dashboards,Line Items
INP03 Headcount,Input,"Cost Centres, Roles",Month,Model Calendar,All,New Line Items: Off,Show All Users: On,5937120,Imported from Workforce Planning monthly. Salary is annual.,,,,,"'CAL06 Department Summary', 'CAL07 P&L by Cost Centre', 'OUT01 Management Pack'",,"FTE, Salary, Bonus %, Monthly Salary, NI Threshold, NI Rate, Employer NI, Bonus, Pension, Total Cost"
INP04 Capex,Input,Cost Centres,Month,Model Calendar,All,New Line Items: Off,Show All Users: On,76608,,,,,,"'CAL08 Cash Flow', 'CAL10 Depreciation', 'OUT01 Management Pack'",,"Capex Spend, Useful Life Years, Asset Class, Project"
INP05 Balance Sheet Drivers,Input,Legal Entities,Month,Model Calendar,All,New Line Items: Off,Show All Users: On,2880,,,,,,'CAL08 Cash Flow',,"Debtor Days, Creditor Days, Stock Days, Opening Cash Balance, Tax Rate Override"
INP06 Unit Costs,Input,Products,Month,Model Calendar,All,New Line Items: Off,Show All Users: On,18144,,,,,,'CAL04 Margn',,"Unit Cost, Freight per Unit, Landed Cost"
DAT01 Actuals GL,Data,"Cost Centres, Accounts",Month,Model Calendar,All,New Line Items: Off,Show All Users: On,20071296,Landed from the Data Hub. Versions: only Actual is loaded.,,,,,"'CAL03 Opex', 'CAL05 Opex OLD'",,"Amount, Source Journal, Journal Cost Centre, Loaded?"
DAT02 Actuals Volumes,Data,"Products, Regions",Month,Model Calendar,All,New Line Items: Off,Show All Users: On,72576,,,,,,'CAL01 Volumes',,"Units Actual, Revenue Actual"
CAL01 Volumes,Calculation,"Products, Regions",Month,Model Calendar,All,New Line Items: Off,Show All Users: On,223776,,,,,,"'CAL02 Revenue', 'CAL04 Margn'",,"Units, Returns, Net Units, Launched?, Sellable Units, Sellable Units Prior Year, Volume Growth"
CAL02 Revenue,Calculation,"Products, Regions",Month,Model Calendar,All,New Line Items: Off,Show All Users: On,435456,,,,,,"'CAL04 Margn', 'CAL07 P&L by Cost Centre'",,"Gross Revenue, Discounts, Net Revenue, Revenue GBP, Revenue USD, VAT, Revenue per Unit, Average Price, Actual or Forecast, Revenue Label, Revenue Prior Year, Revenue Growth"
CAL03 Opex,Calculation,"Cost Centres, Accounts",Month,Model Calendar,All,New Line Items: Off,Show All Users: On,30106944,,,,,,"'CAL06 Department Summary', 'CAL07 P&L by Cost Centre'",,"Actual Opex, Forecast Opex, Opex, Opex GBP, Opex Prior Year, Opex Variance"
CAL04 Margn,Calculation,"Products, Regions",Month,Model Calendar,All,New Line Items: Off,Show All Users: On,145152,,,,,,'CAL07 P&L by Cost Centre',,"COGS, Margin, Margin %, Margin GBP"
CAL05 Opex OLD,Calculation,"Cost Centres, Accounts",Month,Model Calendar,All,New Line Items: Off,Show All Users: On,70249536,Replaced by CAL03 in 2021. Keep until the FY22 audit is closed.,,,,,,,"Actual, Rent Forecast, Rates Forecast, Utilities Forecast, Travel Forecast, Marketing Forecast, Software Forecast, Fees Forecast, Other Forecast, Forecast, Opex, Opex GBP, Opex Cumulative, Opex Run Rate"
CAL06 Department Summary,Calculation,Departments,Month,Model Calendar,All,New Line Items: Off,Show All Users: On,15552,,,,,,,,"Revenue, Opex, Staff Cost, FTE, Benchmark Opex, Cost per FTE"
SYS09 Department Settings,System,Departments,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,54,,,,,,'CAL06 Department Summary',,"Benchmark Account, Head of Department, Cost Centre Owner Approves?"
CAL07 P&L by Cost Centre,Calculation,Cost Centres,Month,Model Calendar,All,New Line Items: Off,Show All Users: On,210672,The P&L every report reads. Lines in P&L order.,,,,,"'CAL06 Department Summary', 'CAL08 Cash Flow', 'CAL11 Reporting Prep'",,"Revenue, COGS, Gross Margin, Opex, Staff Cost, EBITDA, Depreciation, EBIT, EBITDA Margin, Opex Budget, Opex Variance to Budget"
CAL08 Cash Flow,Calculation,Legal Entities,Month,Model Calendar,All,New Line Items: Off,Show All Users: On,5760,,,,,,,,"EBITDA, Revenue, Debtors, Working Capital Movement, Tax, Capex, Net Cash Flow, Opening Cash, Closing Cash, Cash Negative?"
CAL09 Scenario Planning,Calculation,Scenarios,Month,Model Calendar,All,New Line Items: Off,Show All Users: On,0,,,,,,,,
CAL10 Depreciation,Calculation,Cost Centres,Month,Model Calendar,All,New Line Items: Off,Show All Users: On,38304,,,,,,"'CAL07 P&L by Cost Centre', 'OUT01 Management Pack'",,"Charge, NBV"
CAL11 Reporting Prep,Calculation,Cost Centres,Month,Model Calendar,All,New Line Items: Off,Show All Users: On,95760,,,,,,'OUT01 Management Pack',,"Revenue, EBITDA, Opex, Staff Cost, Total Cost"
CAL12 Driver Phasing,Calculation,Cost Centres,Month,Model Calendar,All,New Line Items: Off,Show All Users: On,593712,,,,,,'OUT01 Management Pack',,"Rent Phased, Business Rates Phased, Utilities Phased, Cleaning Phased, Security Phased, Insurance Phased, Travel Phased, Subsistence Phased, Mileage Phased, Hotels Phased, Marketing Events Phased, Marketing Digital Phased, Marketing Print Phased, Agency Fees Phased, Software Licences Phased, Software Support Phased, Hardware Phased, Telecoms Phased, Mobile Phased, Postage Phased, Stationery Phased, Printing Phased, Legal Fees Phased, Audit Fees Phased, Consultancy Phased, Contractors Phased, Recruitment Fees Phased, Training Phased, Subscriptions Phased, Memberships Phased, Total Phased"
OUT01 Management Pack,Output,Cost Centres,Month,Model Calendar,All,New Line Items: Off,Show All Users: On,210672,Read by the Management Pack page and the export.,,,,,'OUT02 Board Pack',,"Revenue, EBITDA, Opex, Staff Cost, Total Cost, Headcount, Capex, Depreciation, Revenue YTD, EBITDA YTD, Phased Drivers"
OUT02 Board Pack,Output,Cost Centres,Month,Model Calendar,All,New Line Items: Off,Show All Users: On,114912,,,,,,,,"Revenue, EBITDA, Budget Revenue, Old Budget Revenue, Revenue Variance, Revenue Variance %"
