,Format,Formula,Summary,Applies To,Time Scale,Time Range,Versions,Style,Cell Count,Calculation Effort,Notes,Read Access Driver,Write Access Driver,Users List,Parent,Is Summary,Formula Scope,Code,Use Switchover,Breakback,Brought-Forward,Start of Section,Data Tags,Referenced By,Module Name
Actual?,"{""dataType"":""BOOLEAN""}",ITEM(Time) < 'SYS00 Model Settings'.Forecast Start,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,"'CAL01 Volumes'.Units, 'CAL02 Revenue'.Actual or Forecast, 'CAL03 Opex'.Opex, 'CAL05 Opex OLD'.Actual, 'CAL05 Opex OLD'.Opex, 'CAL12 Driver Phasing'.Agency Fees Phased, 'CAL12 Driver Phasing'.Audit Fees Phased, 'CAL12 Driver Phasing'.Business Rates Phased, 'CAL12 Driver Phasing'.Cleaning Phased, 'CAL12 Driver Phasing'.Consultancy Phased, 'CAL12 Driver Phasing'.Contractors Phased, 'CAL12 Driver Phasing'.Hardware Phased, 'CAL12 Driver Phasing'.Hotels Phased, 'CAL12 Driver Phasing'.Insurance Phased, 'CAL12 Driver Phasing'.Legal Fees Phased, 'CAL12 Driver Phasing'.Marketing Digital Phased, 'CAL12 Driver Phasing'.Marketing Events Phased, 'CAL12 Driver Phasing'.Marketing Print Phased, 'CAL12 Driver Phasing'.Memberships Phased, 'CAL12 Driver Phasing'.Mileage Phased, 'CAL12 Driver Phasing'.Mobile Phased, 'CAL12 Driver Phasing'.Postage Phased, 'CAL12 Driver Phasing'.Printing Phased, 'CAL12 Driver Phasing'.Recruitment Fees Phased, 'CAL12 Driver Phasing'.Rent Phased, 'CAL12 Driver Phasing'.Security Phased, 'CAL12 Driver Phasing'.Software Licences Phased, 'CAL12 Driver Phasing'.Software Support Phased, 'CAL12 Driver Phasing'.Stationery Phased, 'CAL12 Driver Phasing'.Subscriptions Phased, 'CAL12 Driver Phasing'.Subsistence Phased, 'CAL12 Driver Phasing'.Telecoms Phased, 'CAL12 Driver Phasing'.Training Phased, 'CAL12 Driver Phasing'.Travel Phased, 'CAL12 Driver Phasing'.Utilities Phased, Forecast?",SYS01 Time Settings
Forecast?,"{""dataType"":""BOOLEAN""}",NOT Actual?,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time Settings
First Period?,"{""dataType"":""BOOLEAN""}",ITEM(Time) = 'SYS00 Model Settings'.Model Start,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,'CAL08 Cash Flow'.Opening Cash,SYS01 Time Settings
Start of Month,"{""dataType"":""DATE""}",START(),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time Settings
End of Month,"{""dataType"":""DATE""}",END(),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time Settings
Days in Month,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",DAYS(),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,Working Days,SYS01 Time Settings
Weekend Days,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,,,-,-,,,false,-,,false,false,false,false,-,Working Days,SYS01 Time Settings
Bank Holidays,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,,,-,-,,,false,-,,false,false,false,false,-,Working Days,SYS01 Time Settings
Working Days,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",Days in Month - Weekend Days - Bank Holidays,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time Settings
Month Name,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",NAME(ITEM(Time)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time Settings
Year,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",YEAR(START()),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time Settings
Period Number,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",MONTH(START()),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS01 Time Settings
SYS02 Cost Centre Attributes,,,,Cost Centres,Not Applicable,Not Applicable,Not Applicable,,1463,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Department,"{""hierarchyEntityLongId"":101000000860,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,"'CAL06 Department Summary'.Benchmark Opex, 'CAL06 Department Summary'.FTE, 'CAL06 Department Summary'.Opex, 'CAL06 Department Summary'.Revenue, 'CAL06 Department Summary'.Staff Cost, Sales CC?",SYS02 Cost Centre Attributes
Region,"{""hierarchyEntityLongId"":101000000376,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,Region Code,SYS02 Cost Centre Attributes
Legal Entity,"{""hierarchyEntityLongId"":101000000809,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,"'CAL08 Cash Flow'.Capex, 'CAL08 Cash Flow'.EBITDA, 'CAL08 Cash Flow'.Revenue",SYS02 Cost Centre Attributes
Currency,"{""hierarchyEntityLongId"":101000000451,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,"'CAL03 Opex'.Opex GBP, 'CAL05 Opex OLD'.Opex GBP",SYS02 Cost Centre Attributes
Active?,"{""dataType"":""BOOLEAN""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,,SYS02 Cost Centre Attributes
Cost Centre Code,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",CODE(ITEM(Cost Centres)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,00.00%,,-,-,,,false,-,,false,false,false,false,-,CC and Region,SYS02 Cost Centre Attributes
Group,"{""hierarchyEntityLongId"":101000000351,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",PARENT(ITEM(Cost Centres)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS02 Cost Centre Attributes
Owner,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,,SYS02 Cost Centre Attributes
Region Code,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",CODE(Region),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,00.00%,,-,-,,,false,-,,false,false,false,false,-,CC and Region,SYS02 Cost Centre Attributes
CC and Region,"{""textType"":""GENERAL"",""dataType"":""TEXT""}","Cost Centre Code & "" - "" & Region Code","{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS02 Cost Centre Attributes
Sales CC?,"{""dataType"":""BOOLEAN""}",Department = Departments.Sales,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS02 Cost Centre Attributes
SYS03 Account Attributes,,,,Accounts,Not Applicable,Not Applicable,Not Applicable,,2096,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Account Type,"{""hierarchyEntityLongId"":101000000410,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,,,-,-,,,false,-,,false,false,false,false,-,"COGS?, Opex?, Revenue?, Staff?",SYS03 Account Attributes
P&L Line,"{""hierarchyEntityLongId"":101000000788,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,,,-,-,,,false,-,,false,false,false,false,-,,SYS03 Account Attributes
Account Code,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",CODE(ITEM(Accounts)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS03 Account Attributes
Revenue?,"{""dataType"":""BOOLEAN""}",Account Type = Account Types.Revenue,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,00.00%,,-,-,,,false,-,,false,false,false,false,-,Sign,SYS03 Account Attributes
Opex?,"{""dataType"":""BOOLEAN""}",Account Type = Account Types.Opex,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,00.00%,,-,-,,,false,-,,false,false,false,false,-,'CAL03 Opex'.Actual Opex,SYS03 Account Attributes
COGS?,"{""dataType"":""BOOLEAN""}",Account Type = Account Types.COGS,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS03 Account Attributes
Staff?,"{""dataType"":""BOOLEAN""}",Account Type = Account Types.Staff,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS03 Account Attributes
Sign,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",IF Revenue? THEN -1 ELSE 1,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS03 Account Attributes
SYS04 Product Attributes,,,,Products,Not Applicable,Not Applicable,Not Applicable,,252,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Segment,"{""hierarchyEntityLongId"":101000000730,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Products,Not Applicable,Not Applicable,Not Applicable,,42,,,-,-,,,false,-,,false,false,false,false,-,,SYS04 Product Attributes
Launch Date,"{""dataType"":""DATE""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Products,Not Applicable,Not Applicable,Not Applicable,,42,,,-,-,,,false,-,,false,false,false,false,-,"'SYS07 Launch Flags'.Launched?, 'SYS07 Launch Flags'.Months Since Launch",SYS04 Product Attributes
Active?,"{""dataType"":""BOOLEAN""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Products,Not Applicable,Not Applicable,Not Applicable,,42,,,-,-,,,false,-,,false,false,false,false,-,,SYS04 Product Attributes
Product Code,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",CODE(ITEM(Products)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Products,Not Applicable,Not Applicable,Not Applicable,,42,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS04 Product Attributes
Revenue Cost Centre,"{""hierarchyEntityLongId"":101000000336,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Products,Not Applicable,Not Applicable,Not Applicable,,42,,,-,-,,,false,-,,false,false,false,false,-,"'CAL07 P&L by Cost Centre'.COGS, 'CAL07 P&L by Cost Centre'.Revenue",SYS04 Product Attributes
Product Family,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Products,Not Applicable,Not Applicable,Not Applicable,,42,,,-,-,,,false,-,,false,false,false,false,-,,SYS04 Product Attributes
SYS05 FX Rates,,,,Currencies,Month,Model Calendar,All,,4608,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Rate to GBP,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Currencies,Month,Model Calendar,All,,1152,,,-,-,,,false,All Versions,,false,false,false,false,-,"'CAL02 Revenue'.Revenue GBP, 'CAL03 Opex'.Opex GBP, 'CAL04 Margn'.Margin GBP, 'CAL05 Opex OLD'.Opex GBP, Rate Movement, Rate to GBP Prior",SYS05 FX Rates
Rate Locked?,"{""dataType"":""BOOLEAN""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Currencies,Month,Model Calendar,All,,1152,,,-,-,,,false,All Versions,,false,false,false,false,-,,SYS05 FX Rates
Rate to GBP Prior,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",PREVIOUS(Rate to GBP),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Currencies,Month,Model Calendar,All,,1152,00.00%,,-,-,,,false,All Versions,,true,false,false,false,-,Rate Movement,SYS05 FX Rates
Rate Movement,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}","DIVIDE(Rate to GBP - Rate to GBP Prior, Rate to GBP Prior)","{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Currencies,Month,Model Calendar,All,,1152,00.00%,,-,-,,,false,All Versions,,true,false,false,false,-,,SYS05 FX Rates
SYS06 Region Attributes,,,,Regions,Not Applicable,Not Applicable,Not Applicable,,24,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Currency,"{""hierarchyEntityLongId"":101000000451,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Regions,Not Applicable,Not Applicable,Not Applicable,,6,,,-,-,,,false,-,,false,false,false,false,-,"'CAL02 Revenue'.Revenue GBP, 'CAL04 Margn'.Margin GBP",SYS06 Region Attributes
Region Code,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",CODE(ITEM(Regions)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Regions,Not Applicable,Not Applicable,Not Applicable,,6,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS06 Region Attributes
Region Manager,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Regions,Not Applicable,Not Applicable,Not Applicable,,6,,,-,-,,,false,-,,false,false,false,false,-,,SYS06 Region Attributes
Reportable?,"{""dataType"":""BOOLEAN""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Regions,Not Applicable,Not Applicable,Not Applicable,,6,,,-,-,,,false,-,,false,false,false,false,-,,SYS06 Region Attributes
SYS07 Launch Flags,,,,Products,Month,Model Calendar,Not Applicable,,3024,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Launched?,"{""dataType"":""BOOLEAN""}",START() >= 'SYS04 Product Attributes'.Launch Date,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Products,Month,Model Calendar,Not Applicable,,1512,00.00%,,-,-,,,false,-,,false,false,false,false,-,"'CAL01 Volumes'.Launched?, Months Since Launch",SYS07 Launch Flags
Months Since Launch,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",IF Launched? THEN YEAR(START()) * 12 + MONTH(START()) - YEAR('SYS04 Product Attributes'.Launch Date) * 12 - MONTH('SYS04 Product Attributes'.Launch Date) ELSE 0,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Products,Month,Model Calendar,Not Applicable,,1512,00.00%,,-,-,,,false,-,,false,false,false,false,-,,SYS07 Launch Flags
