,Format,Formula,Summary,Applies To,Time Scale,Time Range,Versions,Style,Cell Count,Calculation Effort,Notes,Read Access Driver,Write Access Driver,Users List,Parent,Is Summary,Formula Scope,Code,Use Switchover,Breakback,Brought-Forward,Start of Section,Data Tags,Referenced By,Module Name
Region,"{""hierarchyEntityLongId"":101000000376,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,,DAT02 Cost Centre Master
Legal Entity,"{""hierarchyEntityLongId"":101000000809,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,,DAT02 Cost Centre Master
Currency,"{""hierarchyEntityLongId"":101000000451,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,,DAT02 Cost Centre Master
Active?,"{""dataType"":""BOOLEAN""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,,DAT02 Cost Centre Master
Cost Centre Code,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",CODE(ITEM(Cost Centres)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,00.00%,,-,-,,,false,-,,false,false,false,false,-,,DAT02 Cost Centre Master
Description,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,,DAT02 Cost Centre Master
Group,"{""hierarchyEntityLongId"":101000000351,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",PARENT(ITEM(Cost Centres)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,00.00%,,-,-,,,false,-,,false,false,false,false,-,,DAT02 Cost Centre Master
Owner Email,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Cost Centres,Not Applicable,Not Applicable,Not Applicable,,133,,,-,-,,,false,-,,false,false,false,false,-,,DAT02 Cost Centre Master
DAT03 Account Master,,,,Accounts,Not Applicable,Not Applicable,Not Applicable,,1834,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Account Type,"{""hierarchyEntityLongId"":101000000410,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,,,-,-,,,false,-,,false,false,false,false,-,"COGS?, Opex?, Revenue?",DAT03 Account Master
P&L Line,"{""hierarchyEntityLongId"":101000000788,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,,,-,-,,,false,-,,false,false,false,false,-,,DAT03 Account Master
Account Code,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",CODE(ITEM(Accounts)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,00.01%,,-,-,,,false,-,,false,false,false,false,-,,DAT03 Account Master
Revenue?,"{""dataType"":""BOOLEAN""}",Account Type = Account Types.Revenue,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,00.02%,,-,-,,,false,-,,false,false,false,false,-,Sign,DAT03 Account Master
Opex?,"{""dataType"":""BOOLEAN""}",Account Type = Account Types.Opex,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,00.02%,,-,-,,,false,-,,false,false,false,false,-,,DAT03 Account Master
COGS?,"{""dataType"":""BOOLEAN""}",Account Type = Account Types.COGS,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,00.02%,,-,-,,,false,-,,false,false,false,false,-,,DAT03 Account Master
Sign,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",IF Revenue? THEN -1 ELSE 1,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Accounts,Not Applicable,Not Applicable,Not Applicable,,262,00.03%,,-,-,,,false,-,,false,false,false,false,-,,DAT03 Account Master
DAT04 Product Master,,,,Products,Not Applicable,Not Applicable,Not Applicable,,252,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Segment,"{""hierarchyEntityLongId"":101000000730,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Products,Not Applicable,Not Applicable,Not Applicable,,42,,,-,-,,,false,-,,false,false,false,false,-,,DAT04 Product Master
Launch Date,"{""dataType"":""DATE""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Products,Not Applicable,Not Applicable,Not Applicable,,42,,,-,-,,,false,-,,false,false,false,false,-,,DAT04 Product Master
Active?,"{""dataType"":""BOOLEAN""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Products,Not Applicable,Not Applicable,Not Applicable,,42,,,-,-,,,false,-,,false,false,false,false,-,,DAT04 Product Master
Product Code,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",CODE(ITEM(Products)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Products,Not Applicable,Not Applicable,Not Applicable,,42,00.00%,,-,-,,,false,-,,false,false,false,false,-,,DAT04 Product Master
Revenue Cost Centre,"{""hierarchyEntityLongId"":101000000336,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Products,Not Applicable,Not Applicable,Not Applicable,,42,,,-,-,,,false,-,,false,false,false,false,-,,DAT04 Product Master
Product Family,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Products,Not Applicable,Not Applicable,Not Applicable,,42,,,-,-,,,false,-,,false,false,false,false,-,,DAT04 Product Master
DAT05 CRM Pipeline,,,,Customers,Month,Model Calendar,Not Applicable,,86400,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Open Pipeline,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Customers,Month,Model Calendar,Not Applicable,,17280,,,-,-,,,false,-,,false,false,false,false,-,Weighted Pipeline,DAT05 CRM Pipeline
Probability,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Customers,Month,Model Calendar,Not Applicable,,17280,,,-,-,,,false,-,,false,false,false,false,-,Weighted Pipeline,DAT05 CRM Pipeline
Weighted Pipeline,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",Open Pipeline * Probability,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Customers,Month,Model Calendar,Not Applicable,,17280,01.83%,,-,-,,,false,-,,false,false,false,false,-,,DAT05 CRM Pipeline
Expected Close,"{""dataType"":""DATE""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Customers,Month,Model Calendar,Not Applicable,,17280,,,-,-,,,false,-,,false,false,false,false,-,,DAT05 CRM Pipeline
Stage,"{""hierarchyEntityLongId"":101000000342,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Customers,Month,Model Calendar,Not Applicable,,17280,,,-,-,,,false,-,,false,false,false,false,-,,DAT05 CRM Pipeline
DAT06 Sales Orders,,,,"Customers, Products",Month,Model Calendar,Not Applicable,,2903040,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Units,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}","Customers, Products",Month,Model Calendar,Not Applicable,,725760,,,-,-,,,false,-,,false,false,false,false,-,'CAL01 Volume Summary'.Units,DAT06 Sales Orders
Order Revenue,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}","Customers, Products",Month,Model Calendar,Not Applicable,,725760,,,-,-,,,false,-,,false,false,false,false,-,"'CAL01 Volume Summary'.Revenue, 'SYS02 Data Checks'.Orders Total",DAT06 Sales Orders
Order Count,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}","Customers, Products",Month,Model Calendar,Not Applicable,,725760,,,-,-,,,false,-,,false,false,false,false,-,'CAL01 Volume Summary'.Orders,DAT06 Sales Orders
Last Order Ref,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}","Customers, Products",Month,Model Calendar,Not Applicable,,725760,,,-,-,,,false,-,,false,false,false,false,-,,DAT06 Sales Orders
DAT07 Customer Master,,,,Customers,Not Applicable,Not Applicable,Not Applicable,,2400,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Region,"{""hierarchyEntityLongId"":101000000376,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Customers,Not Applicable,Not Applicable,Not Applicable,,480,,,-,-,,,false,-,,false,false,false,false,-,"'CAL01 Volume Summary'.Orders, 'CAL01 Volume Summary'.Revenue, 'CAL01 Volume Summary'.Units, Region Code",DAT07 Customer Master
Segment,"{""hierarchyEntityLongId"":101000000730,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Customers,Not Applicable,Not Applicable,Not Applicable,,480,,,-,-,,,false,-,,false,false,false,false,-,,DAT07 Customer Master
Customer Code,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",CODE(ITEM(Customers)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Customers,Not Applicable,Not Applicable,Not Applicable,,480,00.02%,,-,-,,,false,-,,false,false,false,false,-,,DAT07 Customer Master
Key Account?,"{""dataType"":""BOOLEAN""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Customers,Not Applicable,Not Applicable,Not Applicable,,480,,,-,-,,,false,-,,false,false,false,false,-,,DAT07 Customer Master
Region Code,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",CODE(Region),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Customers,Not Applicable,Not Applicable,Not Applicable,,480,00.03%,,-,-,,,false,-,,false,false,false,false,-,,DAT07 Customer Master
DAT08 Employee Master,,,,Employees,Not Applicable,Not Applicable,Not Applicable,,11100,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Cost Centre,"{""hierarchyEntityLongId"":101000000336,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Not Applicable,Not Applicable,Not Applicable,,1850,,,-,-,,,false,-,,false,false,false,false,-,,DAT08 Employee Master
Role,"{""hierarchyEntityLongId"":101000000501,""selectiveAccessApplied"":false,""showAll"":true,""dataType"":""ENTITY""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Not Applicable,Not Applicable,Not Applicable,,1850,,,-,-,,,false,-,,false,false,false,false,-,,DAT08 Employee Master
Start Date,"{""dataType"":""DATE""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Not Applicable,Not Applicable,Not Applicable,,1850,,,-,-,,,false,-,,false,false,false,false,-,,DAT08 Employee Master
End Date,"{""dataType"":""DATE""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Not Applicable,Not Applicable,Not Applicable,,1850,,,-,-,,,false,-,,false,false,false,false,-,,DAT08 Employee Master
FTE,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Employees,Not Applicable,Not Applicable,Not Applicable,,1850,,,-,-,,,false,-,,false,false,false,false,-,,DAT08 Employee Master
Employee Id,"{""textType"":""GENERAL"",""dataType"":""TEXT""}",CODE(ITEM(Employees)),"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Not Applicable,Not Applicable,Not Applicable,,1850,00.07%,,-,-,,,false,-,,false,false,false,false,-,,DAT08 Employee Master
CAL01 Volume Summary,,,,"Products, Regions",Month,Model Calendar,Not Applicable,,36288,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Units,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'DAT06 Sales Orders'.Units[SUM: 'DAT07 Customer Master'.Region],"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}","Products, Regions",Month,Model Calendar,Not Applicable,,9072,02.88%,,-,-,,,false,-,,false,false,false,false,-,,CAL01 Volume Summary
Revenue,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'DAT06 Sales Orders'.Order Revenue[SUM: 'DAT07 Customer Master'.Region],"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}","Products, Regions",Month,Model Calendar,Not Applicable,,9072,02.88%,,-,-,,,false,-,,false,false,false,false,-,Average Order Value,CAL01 Volume Summary
Orders,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'DAT06 Sales Orders'.Order Count[SUM: 'DAT07 Customer Master'.Region],"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}","Products, Regions",Month,Model Calendar,Not Applicable,,9072,02.88%,,-,-,,,false,-,,false,false,false,false,-,Average Order Value,CAL01 Volume Summary
Average Order Value,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}","DIVIDE(Revenue, Orders)","{""summaryMethod"":""FORMULA"",""timeSummaryMethod"":""FORMULA"",""timeSummarySameAsMainSummary"":true}","Products, Regions",Month,Model Calendar,Not Applicable,,9072,00.96%,,-,-,,,false,-,,false,false,false,false,-,,CAL01 Volume Summary
SYS02 Data Checks,,,,,Month,Model Calendar,Not Applicable,,180,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
GL Total,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'DAT01 GL Transactions'.Amount,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,Difference,SYS02 Data Checks
Orders Total,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'DAT06 Sales Orders'.Order Revenue,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",-,Month,Model Calendar,Not Applicable,,36,00.00%,,-,-,,,false,-,,false,false,false,false,-,Difference,SYS02 Data Checks
