,Format,Formula,Summary,Applies To,Time Scale,Time Range,Versions,Style,Cell Count,Calculation Effort,Notes,Read Access Driver,Write Access Driver,Users List,Parent,Is Summary,Formula Scope,Code,Use Switchover,Breakback,Brought-Forward,Start of Section,Data Tags,Referenced By,Module Name
Salary,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,Not Applicable,,66600,,,-,-,,,false,-,,false,false,false,false,-,'Calcs - Cost'.Salary,Data - Employees
Start Date,"{""dataType"":""DATE""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,Not Applicable,,66600,,,-,-,,,false,-,,false,false,false,false,-,Active?,Data - Employees
End Date,"{""dataType"":""DATE""}",,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,Not Applicable,,66600,,,-,-,,,false,-,,false,false,false,false,-,"Active?, Leaver This Month?",Data - Employees
FTE,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,Not Applicable,,66600,,,-,-,,,false,-,,false,false,false,false,-,"'Calcs - Attrition'.Headcount, 'Calcs - Headcount by CC'.FTE, 'zz Archive - 2021 Cost'.Headcount",Data - Employees
Active?,"{""dataType"":""BOOLEAN""}",START() >= Start Date AND (ISBLANK(End Date) OR START() <= End Date),"{""summaryMethod"":""ANY"",""timeSummaryMethod"":""ANY"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,Not Applicable,,66600,,,-,-,,,false,-,,false,false,false,false,-,'Calcs - Cost'.Monthly Salary,Data - Employees
Name and Role,"{""textType"":""GENERAL"",""dataType"":""TEXT""}","Employee Name & "" ("" & NAME(Role) & "")""","{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,Not Applicable,,66600,,,-,-,,,false,-,,false,false,false,false,-,,Data - Employees
Leaver This Month?,"{""dataType"":""BOOLEAN""}",NOT ISBLANK(End Date) AND End Date >= START() AND End Date <= END(),"{""summaryMethod"":""ANY"",""timeSummaryMethod"":""ANY"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,Not Applicable,,66600,,,-,-,,,false,-,,false,false,false,false,-,'Calcs - Attrition'.Leavers,Data - Employees
Calcs - Cost,,,,Employees,Month,Model Calendar,All,,2397600,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Salary,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'Data - Employees'.Salary,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,All,,266400,,,-,-,,,false,All Versions,,true,false,false,false,-,Monthly Salary,Calcs - Cost
Monthly Salary,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",IF 'Data - Employees'.Active? THEN Salary / 12 ELSE 0,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,All,,266400,,,-,-,,,false,All Versions,,true,false,false,false,-,"Employer NI, Inflated Salary",Calcs - Cost
Inflated Salary,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",IF 'Inputs - Calendar'.Inflation Applies? THEN Monthly Salary * (1 + 'Inputs - Settings'.Salary Inflation) ELSE Monthly Salary,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,All,,266400,,,-,-,,,false,All Versions,,true,false,false,false,-,"Bonus, Pension, Total Cost, 'Calcs - Headcount by CC'.Salary",Calcs - Cost
NI Threshold,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'Inputs - Settings'.NI Threshold / 12,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,All,,266400,,,-,-,,,false,All Versions,,true,false,false,false,-,Employer NI,Calcs - Cost
NI Rate,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'Inputs - Settings'.NI Rate,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,All,,266400,,,-,-,,,false,All Versions,,true,false,false,false,-,Employer NI,Calcs - Cost
Employer NI,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",IF Monthly Salary > NI Threshold THEN (Monthly Salary - NI Threshold) * NI Rate ELSE 0,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,All,,266400,,,-,-,,,false,All Versions,,true,false,false,false,-,Total Cost,Calcs - Cost
Pension,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",Inflated Salary * 'Inputs - Settings'.Pension Rate,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,All,,266400,,,-,-,,,false,All Versions,,true,false,false,false,-,Total Cost,Calcs - Cost
Bonus,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",Inflated Salary * 0.1,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,All,,266400,,,-,-,,,false,All Versions,,true,false,false,false,-,Total Cost,Calcs - Cost
Total Cost,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",Inflated Salary + Employer NI + Pension + Bonus,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,All,,266400,,,-,-,,,false,All Versions,,true,false,false,false,-,"'Calcs - Headcount by CC'.Total Cost, 'zz Archive - 2021 Cost'.Cost",Calcs - Cost
Calcs - Headcount by CC,,,,"Cost Centres, Roles",Month,Model Calendar,All,,2968560,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
FTE,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}","'Data - Employees'.FTE[SUM: 'Data - Employees'.Cost Centre, SUM: 'Data - Employees'.Role]","{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}","Cost Centres, Roles",Month,Model Calendar,All,,593712,,,-,-,,,false,All Versions,,true,false,false,false,-,"Average Salary, 'Reports - Headcount'.FTE",Calcs - Headcount by CC
Total Cost,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}","'Calcs - Cost'.Total Cost[SUM: 'Data - Employees'.Cost Centre, SUM: 'Data - Employees'.Role]","{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}","Cost Centres, Roles",Month,Model Calendar,All,,593712,,,-,-,,,false,All Versions,,true,false,false,false,-,'Reports - Headcount'.Total Cost,Calcs - Headcount by CC
Salary,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}","'Calcs - Cost'.Inflated Salary[SUM: 'Data - Employees'.Cost Centre, SUM: 'Data - Employees'.Role] * 12","{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}","Cost Centres, Roles",Month,Model Calendar,All,,593712,,,-,-,,,false,All Versions,,true,false,false,false,-,Average Salary,Calcs - Headcount by CC
Average Salary,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}","DIVIDE(Salary, FTE)","{""summaryMethod"":""FORMULA"",""timeSummaryMethod"":""FORMULA"",""timeSummarySameAsMainSummary"":true}","Cost Centres, Roles",Month,Model Calendar,All,,593712,,,-,-,,,false,All Versions,,true,false,false,false,-,,Calcs - Headcount by CC
Bonus %,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",0.1,"{""summaryMethod"":""NONE"",""timeSummaryMethod"":""NONE"",""timeSummarySameAsMainSummary"":true}","Cost Centres, Roles",Month,Model Calendar,All,,593712,,,-,-,,,false,All Versions,,true,false,false,false,-,,Calcs - Headcount by CC
Calcs - Attrition,,,,Roles,Month,Model Calendar,All,,284256,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
Headcount,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'Data - Employees'.FTE[SUM: 'Data - Employees'.Role],"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Roles,Month,Model Calendar,All,,4464,,,-,-,,,false,All Versions,,true,false,false,false,-,"Annualised Attrition, Attrition %",Calcs - Attrition
Leavers,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",IF 'Data - Employees'.Leaver This Month? THEN 1 ELSE 0,"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Employees,Month,Model Calendar,All,,266400,,Should be in Data - Employees. Moved here for the dashboard.,-,-,,,false,All Versions,,true,false,false,false,-,Leavers by Role,Calcs - Attrition
Leavers by Role,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",Leavers[SUM: 'Data - Employees'.Role],"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Roles,Month,Model Calendar,All,,4464,,,-,-,,,false,All Versions,,true,false,false,false,-,"Annualised Attrition, Attrition %",Calcs - Attrition
Attrition %,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",Leavers by Role / Headcount,"{""summaryMethod"":""FORMULA"",""timeSummaryMethod"":""FORMULA"",""timeSummarySameAsMainSummary"":true}",Roles,Month,Model Calendar,All,,4464,,,-,-,,,false,All Versions,,true,false,false,false,-,,Calcs - Attrition
Annualised Attrition,"{""minimumSignificantDigits"":4,""decimalPlaces"":1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""PERCENTAGE"",""unitsDisplayType"":""PERCENTAGE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}","MOVINGSUM(Leavers by Role, -11, 0) / Headcount","{""summaryMethod"":""FORMULA"",""timeSummaryMethod"":""FORMULA"",""timeSummarySameAsMainSummary"":true}",Roles,Month,Model Calendar,All,,4464,,,-,-,,,false,All Versions,,true,false,false,false,-,,Calcs - Attrition
Reports - Headcount,,,,Departments,Month,Model Calendar,All,,12960,,,,,Show All Users: On,,,,,,New Line Items: Off,,,,,
FTE,"{""minimumSignificantDigits"":4,""decimalPlaces"":-1,""decimalSeparator"":""FULL_STOP"",""groupingSeparator"":""COMMA"",""negativeNumberNotation"":""MINUS_SIGN"",""unitsType"":""NONE"",""unitsDisplayType"":""NONE"",""zeroFormat"":""ZERO"",""comparisonIncrease"":""GOOD"",""dataType"":""NUMBER""}",'Calcs - Headcount by CC'.FTE[SUM: 'Data - Cost Centre Map'.Department],"{""summaryMethod"":""SUM"",""timeSummaryMethod"":""SUM"",""timeSummarySameAsMainSummary"":true}",Departments,Month,Model Calendar,All,,2592,,,-,-,,,false,All Versions,,true,false,false,false,-,"Cost per FTE, FTE Budget, FTE Variance",Reports - Headcount
